สาขา,ชื่อเส้นทาง,ต้นทาง,lat ต้นทาง(เติม),lon ต้นทาง(เติม),ลิงก์แมพต้นทาง,ปลายทาง,lat ปลายทาง(เติม),lon ปลายทาง(เติม),ลิงก์แมพปลายทาง,สถานะที่ขาด
SKN,โกดังใหม่ บริษัท ขายดีเฮงปัง 168 จำกัด,โกดังใหม่ บริษัท ขายดีเฮงปัง 168 จำกัด,,,https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%81%E0%B8%94%E0%B8%B1%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%20%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%A9%E0%B8%B1%E0%B8%97%20%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B8%B5%E0%B9%80%E0%B8%AE%E0%B8%87%E0%B8%9B%E0%B8%B1%E0%B8%87%20168%20%E0%B8%88%E0%B8%B3%E0%B8%81%E0%B8%B1%E0%B8%94%2027/9%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%882,โกดังใหม่ บริษัท ขายดีเฮงปัง 168 จำกัด,,,https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%81%E0%B8%94%E0%B8%B1%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%20%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%A9%E0%B8%B1%E0%B8%97%20%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B8%B5%E0%B9%80%E0%B8%AE%E0%B8%87%E0%B8%9B%E0%B8%B1%E0%B8%87%20168%20%E0%B8%88%E0%B8%B3%E0%B8%81%E0%B8%B1%E0%B8%94%2027/9%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%882,พิกัดต้นทาง + พิกัดปลายทาง
SKN,ข้าวหอมการเกษตร,ข้าวหอมการเกษตร,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%81%E0%B8%A9%E0%B8%95%E0%B8%A3%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8823/7%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%886,ข้าวหอมการเกษตร,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%81%E0%B8%A9%E0%B8%95%E0%B8%A3%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8823/7%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%886,พิกัดต้นทาง + พิกัดปลายทาง
SKN,คิงออฟเพ็ท นครอินทร์,คิงออฟเพ็ท นครอินทร์,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B4%E0%B8%87%E0%B8%AD%E0%B8%AD%E0%B8%9F%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97%20%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%2018/168,คิงออฟเพ็ท นครอินทร์,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B4%E0%B8%87%E0%B8%AD%E0%B8%AD%E0%B8%9F%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97%20%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%2018/168,พิกัดต้นทาง + พิกัดปลายทาง
SKN,คุณ ทัศน์พล  บัวจันทร์,คุณ ทัศน์พล  บัวจันทร์,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%20%E0%B8%97%E0%B8%B1%E0%B8%A8%E0%B8%99%E0%B9%8C%E0%B8%9E%E0%B8%A5%20%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%2081/6%E0%B8%A1.9%E0%B8%96.%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C,คุณ ทัศน์พล  บัวจันทร์,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%20%E0%B8%97%E0%B8%B1%E0%B8%A8%E0%B8%99%E0%B9%8C%E0%B8%9E%E0%B8%A5%20%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%2081/6%E0%B8%A1.9%E0%B8%96.%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C,พิกัดต้นทาง + พิกัดปลายทาง
SKN,คุณ สิทธิพร บัวจันทร์,คุณ สิทธิพร บัวจันทร์,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%20%E0%B8%AA%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B8%9E%E0%B8%A3%20%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%2026/64%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%887%E0%B8%96.%E0%B8%81%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7,คุณ สิทธิพร บัวจันทร์,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%20%E0%B8%AA%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B8%9E%E0%B8%A3%20%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%2026/64%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%887%E0%B8%96.%E0%B8%81%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7,พิกัดต้นทาง + พิกัดปลายทาง
SKN,คุณฐิติพงศ์ แท่นทอง,คุณฐิติพงศ์ แท่นทอง,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%90%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B9%8C%20%E0%B9%81%E0%B8%97%E0%B9%88%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87%20193%E0%B8%A1.1%E0%B8%96.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%81,คุณฐิติพงศ์ แท่นทอง,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%90%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B9%8C%20%E0%B9%81%E0%B8%97%E0%B9%88%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87%20193%E0%B8%A1.1%E0%B8%96.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%81,พิกัดต้นทาง + พิกัดปลายทาง
SKN,คุณฐิติพงศ์ แท่นทอง สาขาที่ 9,คุณฐิติพงศ์ แท่นทอง สาขาที่ 9,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%90%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B9%8C%20%E0%B9%81%E0%B8%97%E0%B9%88%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%209%2039/7-8%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%884,คุณฐิติพงศ์ แท่นทอง สาขาที่ 9,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%90%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B9%8C%20%E0%B9%81%E0%B8%97%E0%B9%88%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%209%2039/7-8%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%884,พิกัดต้นทาง + พิกัดปลายทาง
SKN,คุณฐิติพงศ์ แท่นทอง สาขาธัญบุรีคลอง 8,คุณฐิติพงศ์ แท่นทอง สาขาธัญบุรีคลอง 8,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%90%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B9%8C%20%E0%B9%81%E0%B8%97%E0%B9%88%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%98%E0%B8%B1%E0%B8%8D%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%208%20193%E0%B8%A1.1%E0%B8%96.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%81,คุณฐิติพงศ์ แท่นทอง สาขาธัญบุรีคลอง 8,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%90%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B9%8C%20%E0%B9%81%E0%B8%97%E0%B9%88%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%98%E0%B8%B1%E0%B8%8D%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%208%20193%E0%B8%A1.1%E0%B8%96.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%81,พิกัดต้นทาง + พิกัดปลายทาง
SKN,คุณดุสิต มณียัง สาขารังสิต 39,คุณดุสิต มณียัง สาขารังสิต 39,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%94%E0%B8%B8%E0%B8%AA%E0%B8%B4%E0%B8%95%20%E0%B8%A1%E0%B8%93%E0%B8%B5%E0%B8%A2%E0%B8%B1%E0%B8%87%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95%2039%2039%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%8114,คุณดุสิต มณียัง สาขารังสิต 39,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%94%E0%B8%B8%E0%B8%AA%E0%B8%B4%E0%B8%95%20%E0%B8%A1%E0%B8%93%E0%B8%B5%E0%B8%A2%E0%B8%B1%E0%B8%87%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95%2039%2039%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%8114,พิกัดต้นทาง + พิกัดปลายทาง
SKN,คุณดุสิต มณียัง สาขาราชมงคลคลอง6,คุณดุสิต มณียัง สาขาราชมงคลคลอง6,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%94%E0%B8%B8%E0%B8%AA%E0%B8%B4%E0%B8%95%20%E0%B8%A1%E0%B8%93%E0%B8%B5%E0%B8%A2%E0%B8%B1%E0%B8%87%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%876%206/3%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%882,คุณดุสิต มณียัง สาขาราชมงคลคลอง6,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%94%E0%B8%B8%E0%B8%AA%E0%B8%B4%E0%B8%95%20%E0%B8%A1%E0%B8%93%E0%B8%B5%E0%B8%A2%E0%B8%B1%E0%B8%87%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%876%206/3%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%882,พิกัดต้นทาง + พิกัดปลายทาง
